GISJOIN,YEAR,COUNTY,POPULATION
G1600030,1950,Adams,3347
G1600050,1950,Bannock,41745
G1600070,1950,Bear Lake,6834
G1600090,1950,Benewah,6173
G1600110,1950,Bingham,23271
G1600130,1950,Blaine,5384
G1600150,1950,Boise,1776
G1600170,1950,Bonner,14853
G1600190,1950,Bonneville,30210
G1600210,1950,Boundary,5908
G1600230,1950,Butte,2722
G1600250,1950,Camas,1079
G1600270,1950,Canyon,53597
G1600290,1950,Caribou,5576
G1600310,1950,Cassia,14629
G1600330,1950,Clark,918
G1600350,1950,Clearwater,8217
G1600370,1950,Custer,3318
G1600390,1950,Elmore,6687
G1600410,1950,Franklin,9867
G1600430,1950,Fremont,9351
G1600450,1950,Gem,8730
G1600470,1950,Gooding,11101
G1600490,1950,Idaho,11423
G1600510,1950,Jefferson,10495
G1600530,1950,Jerome,12080
G1600550,1950,Kootenai,24947
G1600570,1950,Latah,20971
G1600590,1950,Lemhi,6278
G1600610,1950,Lewis,4208
G1600630,1950,Lincoln,4256
G1600650,1950,Madison,9156
G1600670,1950,Minidoka,9785
G1600690,1950,Nez Perce,22658
G1600710,1950,Oneida,4387
G1600730,1950,Owyhee,6307
G1600750,1950,Payette,11921
G1600770,1950,Power,3988
G1600790,1950,Shoshone,22806
G1600810,1950,Teton,3204
G1600830,1950,Twin Falls,40979
G1600850,1950,Valley,4270
G1600870,1950,Washington,8576
G1600875,1950,Yellowstone National Park,0
G1700010,1950,Adams,64690
G1700030,1950,Alexander,20316
G1700050,1950,Bond,14157
G1700070,1950,Boone,17070
G1700090,1950,Brown,7132
G1700110,1950,Bureau,37711
G1700130,1950,Calhoun,6898
G1700150,1950,Carroll,18976
G1700170,1950,Cass,15097
G1700190,1950,Champaign,106100
G1700210,1950,Christian,38816
G1700230,1950,Clark,17362
G1700250,1950,Clay,17445
G1700270,1950,Clinton,22594
G1700290,1950,Coles,40328
G1700310,1950,Cook,4508792
G1700330,1950,Crawford,21137
G1700350,1950,Cumberland,10496
G1700370,1950,DeKalb,40781
G1700390,1950,De Witt,16894
G1700410,1950,Douglas,16706
G1700430,1950,Dupage,154599
G1700450,1950,Edgar,23407
G1700470,1950,Edwards,9056
G1700490,1950,Effingham,21675
G1700510,1950,Fayette,24582
G1700530,1950,Ford,15901
G1700550,1950,Franklin,48685
G1700570,1950,Fulton,43716
G1700590,1950,Gallatin,9818
G1700610,1950,Greene,18852
G1700630,1950,Grundy,19217
G1700650,1950,Hamilton,12256
G1700670,1950,Hancock,25790
G1700690,1950,Hardin,7530
G1700710,1950,Henderson,8416
G1700730,1950,Henry,46492
G1700750,1950,Iroquois,32348
G1700770,1950,Jackson,38124
G1700790,1950,Jasper,12266
G1700810,1950,Jefferson,35892
G1700830,1950,Jersey,15264
G1700850,1950,Jo Daviess,21459
G1700870,1950,Johnson,8729
G1700890,1950,Kane,150388
G1700910,1950,Kankakee,73524
G1700930,1950,Kendall,12115
G1700950,1950,Knox,54366
G1700970,1950,Lake,179097
G1700990,1950,La Salle,100610
G1701010,1950,Lawrence,20539
G1701030,1950,Lee,36451
G1701050,1950,Livingston,37809
G1701070,1950,Logan,30671
G1701090,1950,McDonough,28199
G1701110,1950,McHenry,50656
G1701130,1950,McLean,76577
G1701150,1950,Macon,98853
G1701170,1950,Macoupin,44210
G1701190,1950,Madison,182307
G1701210,1950,Marion,41700
G1701230,1950,Marshall,13025
G1701250,1950,Mason,15326
G1701270,1950,Massac,13594
G1701290,1950,Menard,9639
G1701310,1950,Mercer,17374
G1701330,1950,Monroe,13282
G1701350,1950,Montgomery,32460
G1701370,1950,Morgan,35568
G1701390,1950,Moultrie,13171
G1701410,1950,Ogle,33429
G1701430,1950,Peoria,174347
G1701450,1950,Perry,21684
G1701470,1950,Piatt,13970
G1701490,1950,Pike,22155
G1701510,1950,Pope,5779
G1701530,1950,Pulaski,13639
G1701550,1950,Putnam,4746
G1701570,1950,Randolph,31673
G1701590,1950,Richland,16889
G1701610,1950,Rock Island,133558
G1701630,1950,St Clair,205995
G1701650,1950,Saline,33420
G1701670,1950,Sangamon,131484
G1701690,1950,Schuyler,9613
G1701710,1950,Scott,7245
G1701730,1950,Shelby,24434
G1701750,1950,Stark,8721
G1701770,1950,Stephenson,41595
G1701790,1950,Tazewell,76165
G1701810,1950,Union,20500
G1701830,1950,Vermilion,87079
G1701850,1950,Wabash,14651
G1701870,1950,Warren,21981
G1701890,1950,Washington,14460
G1701910,1950,Wayne,20933
G1701930,1950,White,20935
G1701950,1950,Whiteside,49336
G1701970,1950,Will,134336
G1701990,1950,Williamson,48621
G1702010,1950,Winnebago,152385
G1702030,1950,Woodford,21335
G1800010,1950,Adams,22393
G1800030,1950,Allen,183722
G1800050,1950,Bartholomew,36108
G1800070,1950,Benton,11462
G1800090,1950,Blackford,14026
G1800110,1950,Boone,23993
G1800130,1950,Brown,6209
G1800150,1950,Carroll,16010
G1800170,1950,Cass,38793
G1800190,1950,Clark,48330
G1800210,1950,Clay,23918
G1800230,1950,Clinton,29734
G1800250,1950,Crawford,9289
G1800270,1950,Daviess,26762
G1800290,1950,Dearborn,25141
G1800310,1950,Decatur,18218
G1800330,1950,DeKalb,26023
G1800350,1950,Delaware,90252
G1800370,1950,Dubois,23785
G1800390,1950,Elkhart,84512
G1800410,1950,Fayette,23391
G1800430,1950,Floyd,43955
G1800450,1950,Fountain,17836
G1800470,1950,Franklin,16034
G1800490,1950,Fulton,16565
G1800510,1950,Gibson,30720
G1800530,1950,Grant,62156
G1800550,1950,Greene,27886
G1800570,1950,Hamilton,28491
G1800590,1950,Hancock,20332
G1800610,1950,Harrison,17858
G1800630,1950,Hendricks,24594
G1800650,1950,Henry,45505
G1800670,1950,Howard,54498
G1800690,1950,Huntington,31400
G1800710,1950,Jackson,28237
G1800730,1950,Jasper,17031
G1800750,1950,Jay,23157
G1800770,1950,Jefferson,21613
G1800790,1950,Jennings,15250
G1800810,1950,Johnson,26183
G1800830,1950,Knox,43415
G1800850,1950,Kosciusko,33002
G1800870,1950,Lagrange,15347
G1800890,1950,Lake,368152
G1800910,1950,LaPorte,76808
G1800930,1950,Lawrence,34346
